Sno,temp,hum,soil,ir,ultrasonic,cdate
431,27.6,73,100,0,0,2022-11-02 14:16:27.302388
432,27.6,73,100,0,0,2022-11-02 14:16:36.847535
433,27.6,73,100,0,0,2022-11-02 14:16:46.400398
434,27.6,73,100,0,0,2022-11-02 14:16:55.943621
435,27.6,73,100,0,0,2022-11-02 14:17:05.488084
436,27.6,73,100,0,0,2022-11-02 14:17:15.057058
437,27.6,73,100,0,0,2022-11-02 14:17:24.600355
438,27.6,73,100,0,0,2022-11-02 14:17:34.490143
439,27.6,73,100,0,0,2022-11-02 14:17:43.941582
440,27.6,73,100,0,0,2022-11-02 14:17:53.497133
441,27.6,73,100,0,0,2022-11-02 14:18:03.019529
442,27.6,73,100,0,0,2022-11-02 14:18:12.571148
443,27.6,73,100,0,0,2022-11-02 14:18:22.131851
444,27.6,73,100,0,0,2022-11-02 14:18:31.670202
445,27.6,73,100,0,0,2022-11-02 14:18:41.227781
446,27.6,73,100,0,0,2022-11-02 14:18:50.760719
447,27.6,73,100,0,0,2022-11-02 14:19:00.322552
448,27.6,73,100,0,0,2022-11-02 14:19:09.956545
449,27.6,74,100,0,0,2022-11-02 14:19:19.400261
450,27.6,75,100,1,0,2022-11-02 14:19:28.955874
451,27.6,74,100,1,0,2022-11-02 14:19:38.488472
452,27.6,73,100,0,0,2022-11-02 14:19:48.040617
453,27.6,73,100,0,0,2022-11-02 14:19:57.604409
454,27.6,74,100,0,0,2022-11-02 14:20:07.135484
455,nan,nan,100,1,0,2022-11-02 14:20:16.730576
456,nan,nan,100,1,0,2022-11-02 14:20:26.304952
457,nan,nan,100,1,0,2022-11-02 14:20:35.887963
458,nan,nan,100,1,0,2022-11-02 14:20:45.499760
459,nan,nan,100,1,0,2022-11-02 14:20:55.115958
460,nan,nan,100,1,0,2022-11-02 14:21:04.687028
461,nan,nan,100,0,0,2022-11-02 14:21:14.279150
